20251111	23:04:33	10074c48-760c-4062-b3a9-128217f51dd4	log event emitted
20251114	08:32:08	2035e6e6-5552-45b9-adc3-f36ce8591245	/new-page.html	GET
20251114	08:32:08	9c6f7e80-ccef-48d3-953a-affa4ddaf4f3	/css/style.css	GET
20251114	08:32:08	76a7d9b9-316a-40fc-bd1a-73c905f58274	/img/img1.jpg	GET
20251114	08:32:08	c085aaad-7c75-4848-a23e-f7c80376b708	/favicon.ico	GET
20251129	14:25:23	76fb2ac7-a8aa-4736-90dd-5a31f0d56f65	GET	undefined	/index
20251129	14:25:24	b7ab693f-77b9-4492-9d0d-f391c84a8d3a	GET	undefined	/css/style.css
20251201	19:02:08	e947147a-ce32-4564-802f-99a93f465342	GET	undefined	/
20251201	19:02:08	a374523a-5cc5-49ed-821e-bc88e0433b96	GET	undefined	/css/style.css
20251201	19:02:08	dbf17b97-9ac3-4600-adf5-cad2eddc8c38	GET	undefined	/favicon.ico
20251201	19:02:10	d149e645-f8dc-4860-abba-6629d274ebad	GET	undefined	/
20251201	19:02:10	88cd989e-2213-41a6-8086-c1dfc27fb67c	GET	undefined	/css/style.css
20251201	19:02:27	4c0077c4-9973-472b-a48a-b62997314cde	GET	undefined	/
20251201	19:02:27	1964cb0d-b81f-4a8d-9920-1b22fd26f2a7	GET	undefined	/css/style.css
20251201	19:02:34	2fdbde97-5d91-468e-9385-419578ba472c	GET	undefined	/
20251201	19:02:34	0671dfc3-00b5-49dc-bcd5-7be651f1cc74	GET	undefined	/favicon.ico
20251201	19:03:24	b8c644b4-eb41-4f7f-b971-5bac3d57804f	GET	undefined	/
20251201	19:03:25	e14742f4-310e-4272-9969-026228a5ccaf	GET	undefined	/css/style.css
20251201	22:28:07	e637727e-a009-4e00-a6d1-f5ef6a348ae7	GET	undefined	/
20251201	22:28:07	c4ce3b3d-fad5-468d-9db5-fd276b714746	GET	undefined	/css/style.css
20251201	22:28:07	3d679c72-d5aa-422c-b329-66ecf9506dc4	GET	undefined	/favicon.ico
20251201	22:28:30	5b7417d7-ab48-40cd-942b-693be2581d75	GET	undefined	/
20251201	22:28:30	ba31f869-8cb0-4322-890c-300b1c2b0bd0	GET	undefined	/favicon.ico
20251201	22:28:45	0843c630-8b1a-4fe7-91bf-2b3df116cdeb	GET	undefined	/
20251201	22:28:45	1c7fdc61-f4fe-446a-896a-00b388edf9ca	GET	undefined	/favicon.ico
20251201	22:31:22	3fc0c07d-15f2-4689-8d6a-a4031d951c9c	GET	undefined	/
20251201	22:31:22	4fa1ba41-8166-4d28-b385-f02a799aa180	GET	undefined	/favicon.ico
20251201	22:31:33	96ba3eae-5476-4599-b498-75a5ff8af046	GET	undefined	/
20251201	22:31:33	73897c69-ddb7-4896-85a0-1b82f006872f	GET	undefined	/favicon.ico
20251201	22:33:35	d2653731-f986-4973-bf51-deb7a4dd081d	GET	undefined	/
20251201	22:33:35	c596cdc4-1e35-4518-8f19-19734f24fdf4	GET	undefined	/favicon.ico
20251202	07:55:59	57d89809-b343-4118-b45d-9b77ccbf4f45	GET	undefined	/
20251202	07:56:00	76b9b9e3-ec0a-467c-8bfe-99032a6c9557	GET	undefined	/favicon.ico
20251202	07:56:22	b919c293-45d3-413e-9a90-98b41ed43181	GET	undefined	/
20251202	07:56:22	106e2cad-c74d-476b-bd10-c79590542b37	GET	undefined	/css/style.css
20251202	07:56:27	77555669-ad0f-4dcd-a387-525a280645b6	GET	undefined	/h
20251202	07:56:27	554a6a02-c1ff-4328-8354-98aaba957a31	GET	undefined	/css/style.css
20251202	07:56:46	2bab22de-bae5-4000-b0c2-44172e441436	GET	undefined	/h
20251202	07:56:50	4e00ba22-858d-402e-8758-3d65d258c831	GET	undefined	/
20251202	07:56:50	b7469b2e-b08e-4f35-8d38-1f9b61b5cd7a	GET	undefined	/css/style.css
20251202	07:56:53	82a99142-721d-46b9-8ef4-67cf2c3d03e1	GET	undefined	/ali
20251202	08:06:43	7b12fa22-8f90-40fb-9daf-eef301c707d9	GET	undefined	/hehehe
20251202	08:06:44	3c8b6395-86b3-4fdc-86c5-89c98d416782	GET	undefined	/css/style.css
20251202	09:45:54	6dfa5aa8-b78f-471c-af1e-8abdb2da65e4	GET	undefined	/
20251202	09:46:07	0d21cdf3-fd70-4537-8670-140ec8624666	GET	undefined	/hehe
20251202	09:46:26	e7c4035a-55f9-4a25-b28c-098ecdbc382e	GET	undefined	/hehe
20251202	09:46:39	6b7cf2cf-27ed-4369-aa83-d996b92ce0fc	GET	undefined	/hehe
20251202	09:46:45	f50bff40-76ca-4ad7-bfd0-8f95be8670f9	GET	undefined	/hehe
20251202	09:47:49	829529fe-c794-494a-b350-4c9d114de9f0	GET	undefined	/hehe
20251202	09:48:50	edddca8e-599d-4c24-87bd-878beaee67d1	GET	undefined	/hehe
20251202	09:49:10	64316797-68dd-458c-9571-8bfd41a0962a	OPTIONS	undefined	/hehe
20251202	09:49:20	e746c187-6806-447e-b2f9-d99cce62bdc6	OPTIONS	undefined	/heheeh
20251202	09:49:53	94f1e63e-b15b-48af-a005-2fb5e96ebe20	GET	undefined	/
20251202	09:51:03	625cb735-ec67-4d94-8881-539fc5f19c8a	GET	undefined	/gegashd
20251202	09:52:04	3a4b10ae-86d6-438a-8dde-390391070fb0	GET	undefined	/gegashd
20251202	09:52:42	3fb2e187-080c-482e-9ddc-40060d4d84f2	GET	undefined	/gegashd
20251202	09:53:44	40cdce0a-2502-4447-9fc4-e87146a04b7e	GET	undefined	/gegashd
20251202	09:54:10	a939433d-0514-42f6-8546-2ab782f68cf4	GET	undefined	/gegashd
20251202	10:13:12	78e1973e-de04-40c1-9987-be0f728e3655	GET	undefined	/
20251202	10:13:12	bad166ba-c7e2-4a18-b29c-e1a400dffcba	GET	undefined	/css/style.css
20251202	10:13:12	e7e5a5fd-eb6a-4630-856b-b7d8281360d8	GET	undefined	/favicon.ico
20251202	10:13:23	5aaf0539-ef48-4e26-a000-796317861061	GET	undefined	/subdir
20251202	10:13:24	743b9895-de6d-434f-9dc5-647ee359fa0a	GET	undefined	/favicon.ico
20251202	10:13:27	158247f4-7c57-413e-a491-6cafb45e05c2	GET	undefined	/subdir/test
20251202	10:13:28	246a2eb3-93bf-4d64-9fa9-87499c8c088d	GET	undefined	/subdir/css/style.css
20251202	10:13:28	a53f29be-3768-458c-bee5-097d53ee809b	GET	undefined	/favicon.ico
20251202	10:13:32	b2ede4cb-800d-4c0e-b16a-cddd9ca728a3	GET	undefined	/subdir/test.html
20251202	10:13:32	3a3d2b39-055a-48e8-b8e9-13205a24c0f2	GET	undefined	/subdir/css/style.css
20251202	10:13:32	857ebe3a-12c9-43aa-8b0a-eaecf419c8fe	GET	undefined	/favicon.ico
20251202	10:14:01	3c078077-2b4a-4ee0-8b23-3caa5b1081e4	GET	undefined	/subdir/test.html
20251202	10:14:01	e00e09f7-d649-496c-a87f-bb365f30cbca	GET	undefined	/subdir/css/style.css
20251202	10:14:01	2f04eaea-6574-421f-8564-a89f21d7d120	GET	undefined	/favicon.ico
20251202	10:14:05	80ab34bc-4159-41f5-bde1-a81ec89c8051	GET	undefined	/subdir/test
20251202	10:14:05	c7abde8e-0ae2-4ec3-8420-5464e95b4bf2	GET	undefined	/subdir/css/style.css
20251202	10:14:05	07a25b02-c013-443b-83ff-b7cc5f88395f	GET	undefined	/favicon.ico
20251202	10:14:15	b273c266-e9e1-4c5b-987e-c1dbeb2b0ccb	GET	undefined	/subdir/test
20251202	10:14:15	ec3a8686-0f01-4732-b7fd-0d2da0dde7f3	GET	undefined	/subdir/css/style.css
20251202	10:14:25	6ca4f73b-2859-4cf7-a13d-c618b6b5c45c	GET	undefined	/subdir
20251202	10:14:25	1edd223c-c3cb-4c5f-a0d1-7185405ef443	GET	undefined	/favicon.ico
20251202	10:14:30	88f38129-9516-4cac-8be8-05b0dfdf6a54	GET	undefined	/subdir/test
20251202	10:14:30	4ca44425-e23c-4b66-a256-a253adb64a3c	GET	undefined	/subdir/css/style.css
20251202	10:14:30	2ff0a5f8-f703-4a04-91e0-2df432c69481	GET	undefined	/favicon.ico
